"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";
"1";"";"LM13700DIL";"DIL16";"IC1";"";"";"";"";"";
"2";"";"LM4040TH";"TO-92";"PREF1, PREF2";"";"";"";"";"";
"2";"";"TL0X4DIL";"DIL14";"IC2, IC3";"";"";"";"";"";
"1";"100K";"2XWIREPAD";"1X02";"DIST";"";"";"";"";"";
"1";"100K";"3XWIREPAD";"1X03";"FREQ";"";"";"";"";"";
"6";"100K";"R-EU_0207/10";"0207/10";"R6, R11, R12, R13, R14, R15";"RESISTOR, European symbol";"81";"";"R";"";
"6";"100nF";"C-EU050-025X075";"C050-025X075";"C4, C5, C6, C7, C8, C9";"CAPACITOR, European symbol";"29";"";"C";"";
"3";"100Ω";"R-EU_0207/10";"0207/10";"R3, R23, R24";"RESISTOR, European symbol";"81";"";"R";"";
"1";"100Ω";"R-TRIMM3296W";"RTRIM3296W";"R17";"Trimm resistor";"3";"X";"";"POT";
"3";"10K";"R-EU_0207/10";"0207/10";"R1, R5, R21";"RESISTOR, European symbol";"81";"";"R";"";
"1";"10K";"R-TRIMM3296W";"RTRIM3296W";"R22";"Trimm resistor";"3";"X";"";"POT";
"2";"150K";"R-EU_0207/10";"0207/10";"R4, R25";"RESISTOR, European symbol";"81";"";"R";"";
"1";"1K";"R-EU_0207/10";"0207/10";"R10";"RESISTOR, European symbol";"81";"";"R";"";
"1";"1M";"R-EU_0207/10";"0207/10";"R18";"RESISTOR, European symbol";"81";"";"R";"";
"6";"1XWIREPAD";"1XWIREPAD";"1X01";"CVINA, CVINB, FINE, SIN, SQR, TRI";"";"";"";"";"";
"1";"1nF";"C-EU050-025X075";"C050-025X075";"C1";"CAPACITOR, European symbol";"29";"";"C";"";
"1";"22K";"R-EU_0207/10";"0207/10";"R2";"RESISTOR, European symbol";"81";"";"R";"";
"1";"22pF";"C-EU050-025X075";"C050-025X075";"C3";"CAPACITOR, European symbol";"29";"";"C";"";
"1";"2K_Tempco";"R-EU_0207/10";"0207/10";"R16";"RESISTOR, European symbol";"81";"";"R";"";
"1";"2M";"R-EU_0207/10";"0207/10";"R26";"RESISTOR, European symbol";"81";"";"R";"";
"2";"2N3906";"2N3906";"TO92";"Q1, Q2";"PNP Transistor";"11";"";"";"";
"1";"2XWIREPAD";"2XWIREPAD";"1X02";"GNDT";"";"";"";"";"";
"1";"47K";"R-EU_0207/10";"0207/10";"R19";"RESISTOR, European symbol";"81";"";"R";"";
"1";"47Ω";"R-EU_0207/10";"0207/10";"R20";"RESISTOR, European symbol";"81";"";"R";"";
"3";"4K7";"R-EU_0207/10";"0207/10";"R9, R27, R28";"RESISTOR, European symbol";"81";"";"R";"";
"1";"660K";"R-EU_0207/10";"0207/10";"R8";"RESISTOR, European symbol";"81";"";"R";"";
"1";"75K";"R-EU_0207/10";"0207/10";"R7";"RESISTOR, European symbol";"81";"";"R";"";
"1";"BAT85";"SCHOTTKY_DO35";"DO35-7";"D1";"";"";"";"";"";
"1";"COMBO_SUPPLY_HEADER";"COMBO_SUPPLY_HEADER";"COMBINED_POWER";"WP1";"";"";"";"";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"7";"";"";"";
